# raceline for track_id=oschersleben (claude-docs/02-repo-layout.md)
# generated by tools/raceline (tool_version=0.1.0)
# vehicle_params: schema_version=0.2.0, sysid_session_id=none-preliminary
# generation_params: track_shape=external_centerline, source_centerline_csv=../config/tracks/oschersleben/source_centerline.csv, resample_ds_m=0.1, smooth_window=5, a_lat_max_mps2=9.51, a_max_mps2=9.51, v_max_mps=20.0
# columns: s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
25.401086,-24.376174,7.142488,2.873097,0.025962,6.730699
25.501088,-24.472627,7.168892,2.876067,0.033449,6.587888
25.601089,-24.569168,7.194972,2.882771,0.100631,6.441913
25.701081,-24.665956,7.220078,2.891868,0.081316,6.292568
25.801068,-24.762941,7.244394,2.899667,0.074688,6.139597
25.901056,-24.860106,7.267986,2.910293,0.137887,5.982715
26.001027,-24.957571,7.290232,2.927088,0.198126,5.821635
26.100987,-25.055445,7.310542,2.943535,0.130972,5.655988
26.200937,-25.153569,7.329567,2.956627,0.130973,5.485356
26.300896,-25.251941,7.347307,2.978807,0.313080,5.309229
26.400797,-25.350762,7.361953,3.007566,0.262611,5.127164
26.500689,-25.449924,7.374002,3.030420,0.194991,4.938407
26.600578,-25.549301,7.384117,3.056265,0.322784,4.742148
26.700400,-25.648883,7.391020,3.095423,0.461889,4.537550
26.800209,-25.748665,7.393328,3.132422,0.279773,4.428887
26.899991,-25.848447,7.392850,-3.121703,0.302754,4.209177
26.999765,-25.948159,7.389360,-3.076676,0.601158,3.977371
27.099397,-26.047343,7.379921,-3.023122,0.473545,4.208858
27.199063,-26.146006,7.365811,-2.982849,0.335025,4.296967
27.298742,-26.244154,7.348413,-2.937600,0.573996,4.070387
27.398313,-26.341045,7.325463,-2.878436,0.613692,3.936542
27.498036,-26.436498,7.296595,-2.832173,0.315694,4.170503
27.597736,-26.530973,7.264745,-2.796378,0.402504,4.356182
27.697428,-26.624089,7.229134,-2.748560,0.556786,4.132817
27.797208,-26.715165,7.188378,-2.704998,0.317150,4.356373
27.897031,-26.804945,7.144742,-2.677108,0.241829,4.569094
27.996875,-26.893665,7.098941,-2.645475,0.392015,4.772385
28.096722,-26.980527,7.049704,-2.609571,0.327141,4.967367
28.196639,-27.065795,6.997619,-2.584608,0.172848,5.155110
28.296552,-27.150148,6.944072,-2.565685,0.205938,5.336245
28.396476,-27.233389,6.888795,-2.541147,0.285188,5.511449
28.496437,-27.315053,6.831146,-2.520158,0.134909,5.681314
28.596402,-27.395935,6.772400,-2.507790,0.112536,5.846252
28.696371,-27.476153,6.712745,-2.494583,0.151706,6.006669
28.796348,-27.555465,6.651875,-2.480084,0.138338,6.162924
28.896343,-27.633940,6.589903,-2.470219,0.058995,6.315341
28.996336,-27.712048,6.527471,-2.464306,0.059270,6.464163
29.096332,-27.789787,6.464575,-2.457908,0.068700,6.609639
29.196333,-27.867095,6.401143,-2.452997,0.029511,6.751989
29.296337,-27.944218,6.337481,-2.451036,0.009712,6.891402
29.396341,-28.021280,6.273744,-2.450625,-0.001491,7.028051
29.496345,-28.098350,6.210019,-2.451502,-0.016037,7.162093
29.596347,-28.175522,6.146419,-2.453577,-0.025474,7.293670
29.696350,-28.252855,6.083015,-2.456125,-0.025474,7.422915
29.796352,-28.330350,6.019809,-2.461068,-0.073392,7.549948
29.896350,-28.408303,5.957176,-2.468079,-0.066842,7.668278
29.996346,-28.486671,5.895066,-2.474050,-0.052572,7.543246
30.096342,-28.565365,5.833370,-2.481020,-0.086848,7.416107
30.196332,-28.644587,5.772362,-2.491983,-0.132437,7.286757
30.296319,-28.724607,5.712411,-2.502829,-0.084521,7.155073
30.396303,-28.805129,5.653140,-2.511048,-0.079874,7.020924
30.496290,-28.886124,5.594512,-2.524215,-0.183543,6.884157
30.596260,-28.968167,5.537390,-2.540989,-0.152034,6.744642
30.696230,-29.051069,5.481521,-2.553910,-0.106463,6.602178
30.796200,-29.134561,5.426538,-2.567964,-0.174747,6.456572
30.896154,-29.218986,5.373030,-2.588556,-0.237281,6.307631
30.996112,-29.304660,5.321537,-2.607090,-0.133609,6.155080
31.096063,-29.391008,5.271196,-2.620621,-0.137136,5.998662
31.196019,-29.478043,5.222041,-2.641413,-0.279027,5.838046
31.295950,-29.566391,5.175343,-2.665886,-0.210745,5.998622
31.395888,-29.655710,5.130512,-2.683824,-0.148285,5.986151
31.495827,-29.745684,5.087010,-2.702590,-0.227334,5.825218
31.595750,-29.836609,5.045569,-2.728782,-0.296885,5.659738
31.695691,-29.928739,5.006836,-2.751357,-0.155020,5.825248
31.795621,-30.021448,4.969539,-2.766849,-0.155018,5.712354
31.895562,-30.114734,4.933679,-2.790051,-0.309469,5.543474
31.995477,-30.209059,4.900728,-2.817471,-0.239373,5.712310
32.095402,-30.304155,4.870039,-2.837602,-0.163617,5.639553
32.195326,-30.399738,4.840909,-2.857196,-0.228615,5.468456
32.295237,-30.495950,4.813973,-2.885579,-0.339598,5.291853
32.395159,-30.593030,4.790314,-2.911788,-0.185141,5.468474
32.495066,-30.690518,4.768456,-2.929839,-0.176194,5.537368
32.594986,-30.788386,4.748316,-2.955149,-0.330645,5.363019
32.694868,-30.886830,4.731425,-2.986820,-0.303499,5.403154
32.794766,-30.985755,4.717523,-3.011595,-0.192627,5.224367
