# raceline for track_id=gym_oval (claude-docs/02-repo-layout.md)
# generated by tools/raceline (tool_version=0.1.0)
# vehicle_params: schema_version=0.1.0, sysid_session_id=none-preliminary
# generation_params: track_shape=stadium, straight_length_m=8.0, turn_radius_m=3.0, points_per_meter=10.0, resample_ds_m=0.1, smooth_window=5, a_lat_max_mps2=9.51, a_max_mps2=9.51, v_max_mps=20.0
# columns: s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
s_m,x_m,y_m,heading_rad,curvature_1pm,target_speed_mps
28.025518,-6.293521,1.928464,-2.269960,0.333811,5.337522
28.125542,-6.356608,1.850844,-2.236578,0.333811,5.337523
28.225566,-6.417069,1.771161,-2.203197,0.333811,5.337525
28.325591,-6.474837,1.689505,-2.169816,0.333811,5.337526
28.425615,-6.529847,1.605966,-2.136434,0.333811,5.337528
28.525640,-6.582039,1.520638,-2.103053,0.333810,5.337529
28.625664,-6.631354,1.433615,-2.069671,0.333810,5.337531
28.725689,-6.677737,1.344995,-2.036290,0.333810,5.337532
28.825713,-6.721136,1.254876,-2.002908,0.333810,5.337534
28.925738,-6.761504,1.163359,-1.969527,0.333810,5.337535
29.025763,-6.798794,1.070545,-1.936145,0.333810,5.337537
29.125787,-6.832966,0.976539,-1.902764,0.333809,5.337538
29.225812,-6.863982,0.881444,-1.869382,0.333809,5.337540
29.325837,-6.891807,0.785367,-1.836001,0.333809,5.337541
29.425862,-6.916409,0.688415,-1.802619,0.333809,5.337543
29.525887,-6.937762,0.590696,-1.769238,0.333809,5.337545
29.625912,-6.955842,0.492318,-1.735856,0.333808,5.337546
29.725938,-6.970628,0.393392,-1.702475,0.333808,5.337548
29.825963,-6.982105,0.294027,-1.669093,0.333808,5.337549
29.925988,-6.990258,0.194335,-1.635712,0.333808,5.337551
30.026013,-6.995080,0.094426,-1.602331,0.333808,5.337552
30.126039,-6.996565,-0.005588,-1.568949,0.333807,5.337554
30.226064,-6.994711,-0.105597,-1.535568,0.333807,5.337556
30.326090,-6.989520,-0.205487,-1.502186,0.333807,5.337557
30.426115,-6.980998,-0.305149,-1.468805,0.333807,5.337559
30.526141,-6.969154,-0.404471,-1.435423,0.333807,5.337560
30.626166,-6.954002,-0.503343,-1.402042,0.333806,5.337562
30.726192,-6.935559,-0.601653,-1.368660,0.333806,5.337563
30.826218,-6.913845,-0.699294,-1.335279,0.333806,5.337565
30.926244,-6.888884,-0.796155,-1.301897,0.333806,5.337567
31.026270,-6.860705,-0.892130,-1.268516,0.333806,5.337568
31.126296,-6.829338,-0.987110,-1.235134,0.333805,5.337570
31.226322,-6.794818,-1.080991,-1.201753,0.333805,5.337571
31.326348,-6.757184,-1.173667,-1.168371,0.333805,5.337573
31.426374,-6.716478,-1.265036,-1.134990,0.333805,5.337575
31.526400,-6.672746,-1.354996,-1.101608,0.333805,5.337576
31.626427,-6.626035,-1.443445,-1.068227,0.333804,5.337578
31.726453,-6.576398,-1.530287,-1.034845,0.333804,5.337580
31.826479,-6.523890,-1.615423,-1.001464,0.333804,5.337581
31.926506,-6.468570,-1.698760,-0.968083,0.333804,5.337583
32.026532,-6.410500,-1.780204,-0.934701,0.333804,5.337585
32.126559,-6.349744,-1.859665,-0.901320,0.333803,5.337586
32.226586,-6.286369,-1.937053,-0.867938,0.333803,5.337588
32.326612,-6.220447,-2.012284,-0.834557,0.333803,5.337590
32.426639,-6.152051,-2.085272,-0.801175,0.333803,5.337591
